route_id,route_short_name,route_long_name,route_type
8__158___,158,MADRID (Pinar de Chamartín) - SAN SEBASTIÁN DE LOS REYES (Tempranales),mode_3
8__159___,159,MADRID (Plaza de Castilla)-ALCOBENDAS (Arroyo de la Vega),mode_3
8__161___,161,MADRID (Plaza de Castilla)-URB. FUENTE DEL FRESNO,mode_3
8__166___,166,SAN SEBASTIAN DE LOS REYES - URBANIZACION VALDELAGUA,mode_3
8__180___,180,ALCOBENDAS-ALGETE,mode_3
8__181___,181,MADRID (Plaza de Castilla)-ALGETE,mode_3
8__182___,182,MADRID (Plaza de Castilla)-ALGETE-VALDEOLMOS,mode_3
8__183___,183,MADRID (Plaza de Castilla)-COBEÑA-ALGETE,mode_3
8__184___,184,MADRID (Plaza de Castilla)-EL CASAR,mode_3
8__185___,185,MADRID (Plaza de Castilla)-NUEVO ALGETE,mode_3
8__263___,263,MADRID (Barajas)-COBEÑA-ALGETE,mode_3
8__720___,720,COLMENAR VIEJO (Estación FF.CC.) - COLLADO VILLALBA,mode_3
8__721___,721,MADRID (Plaza de Castilla)-COLMENAR VIEJO,mode_3
8__722___,722,MADRID (Plaza de Castilla) - COLMENAR VIEJO (Navallar),mode_3
8__723___,723,COLMENAR VIEJO-TRES CANTOS,mode_3
8__724___,724,MADRID (Plaza de Castilla)-MANZANARES-EL BOALO,mode_3
8__725___,725,MADRID (Plaza de Castilla)-MIRAFLORES-BUSTARVIEJO-VALDEMANCO,mode_3
8__726___,726,MADRID (Plaza de Castilla)-GUADALIX-NAVALAFUENTE,mode_3
8__727___,727,COLMENAR VIEJO-SAN AGUSTÍN DEL GUADALIX,mode_3
8__SE720___,SE720,EST. COLMENAR - SOTO DEL REAL - MANZANARES EL REAL,mode_3
9__1__045_,1,EST. COMENAR VIEJO - LAS ADELFILLAS,mode_3
9__2__045_,2,EST. COLMENAR VIEJO - AV. REMEDIOS,mode_3
9__4__134_,4,POLIDEPORTIVO-MOSCATELARES,mode_3
9__5__006_,5,S. S. DE LOS REYES-ALCOBENDAS-SOTO MORALEJA,mode_3
9__6__006_,6,ESTACIÓN FFCC VALDELASFUENTES-POLG. INDUSTRIAL,mode_3
9__7__134_,7,ESTACIÓN FFCC-POLÍGONOS-ESTACIÓN FFCC,mode_3
9__9__006_,9,ESTACIÓN FFCC-ARROYO DE LA VEGA,mode_3
9__10__006_,10,CIRCULAR DE ALCOBENDAS,mode_3
9__11__006_,11,CIRCULAR DE ALCOBENDAS,mode_3
8__571___,571,MADRID (Aluche)-BOADILLA (Por Urb. Montepríncipe),mode_3
8__572___,572,MADRID (Aluche)-CIUDAD DE LA IMAGEN,mode_3
8__573___,573,MADRID (Moncloa)-BOADILLA (Por Urb. Montepríncipe),mode_3
8__574___,574,MADRID (Aluche)-BOADILLA DEL MONTE (Por Ciudad Financiera),mode_3
8__575___,575,BOADILLA DEL MONTE-BRUNETE,mode_3
8__591___,591,MADRID (Aluche) - ETSI  Informáticos,mode_3
8__865___,865,MADRID (Moncloa) - CAMPUS UPM MONTEGANCEDO,mode_3
9__1__022_,1,PASEO DE MADRID-OLIVAR-PARQUE-LAS LOMAS,mode_3
9__2__022_,2,FERIAL DE BOADILLA-VALDEPASTORES-LAS LOMAS,mode_3
9__3__022_,3,FERIAL DE BOADILLA-VALDECABAÑAS-BONANZA,mode_3
9__4__022_,4,BOADILLA CENTRO - EL PASTEL,mode_3
9__1__013_,1,EST. ARANJUEZ - LA ARBOLEDA DE LA REINA,mode_3
9__2__013_,2,EST. ARANJUEZ - RESIDENCIA,mode_3
9__3__013_,3,EST. ARANJUEZ -  EL PINO,mode_3
9__4__013_,4,EST. ARANJUEZ - HOSPITAL - PAU DE LA MONTAÑA,mode_3
9__5__013_,5,EST. ARANJUEZ - HOSPITAL DEL TAJO,mode_3
8__500___,500,PZA. DE ESPAÑA - GLORIETA DE LOS CARMENES,mode_3
8__480___,480,MADRID (Plaza Elíptica)-LEGANÉS (Estación FFCC),mode_3
8__481___,481,MADRID (Oporto)-LEGANÉS (Parquesur-Hospital),mode_3
8__482___,482,MADRID (Aluche) - LEGANÉS (Arroyo Culebro),mode_3
8__483___,483,MADRID (Aluche)-LEGANÉS (Vereda de los Estudiantes),mode_3
8__484___,484,MADRID (Oporto)-LEGANÉS (Estación FFCC),mode_3
8__485___,485,MADRID (Aluche)-LEGANÉS (Norte-Montepinos),mode_3
8__486___,486,MADRID (Oporto)-LEGANÉS (Valdepelayo),mode_3
8__487___,487,MADRID (Aluche)-LEGANÉS (San Nicasio),mode_3
8__488___,488,LEGANÉS (San Nicasio)-GETAFE (Getafe Norte),mode_3
8__491___,491,MADRID (Aluche)-FUENLABRADA (Bº Naranjo),mode_3
8__492___,492,MADRID (Aluche)-FUENLABRADA (P. Granada),mode_3
8__493___,493,MADRID (Aluche)-FUENLABRADA (Urb. Loranca),mode_3
8__495___,495,MADRID (Príncipe Pío)-ARROYOMOLINOS-MORALEJA DE ENMEDIO,mode_3
8__496___,496,FUENLABRADA-MORALEJA DE ENMEDIO-ARROYOMOLINOS (Xanadú),mode_3
8__497___,497,LEGANÉS (Parque Sur)-MORALEJA DE ENMEDIO (Las Colinas),mode_3
